category,profile,count,total_length_m,total_mass_kg
DOWNSPOUT_L_00,Downspouts,tube-100x3,6000.0,43.06
DOWNSPOUT_L_10,Downspouts,tube-100x3,6000.0,43.06
DOWNSPOUT_L_20,Downspouts,tube-100x3,6000.0,43.06
DOWNSPOUT_R_00,Downspouts,tube-100x3,6000.0,43.06
DOWNSPOUT_R_10,Downspouts,tube-100x3,6000.0,43.06
DOWNSPOUT_R_20,Downspouts,tube-100x3,6000.0,43.06
FLANGEBRACE_00_01,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_00_02,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_00_03,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_00_04,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_05_01,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_05_02,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_05_03,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_05_04,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_10_01,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_10_02,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_10_03,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_10_04,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_15_01,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_15_02,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_15_03,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_15_04,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_20_01,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_20_02,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_20_03,Sag rods / flange braces,rod-16,340.0,0.54
FLANGEBRACE_20_04,Sag rods / flange braces,rod-16,340.0,0.54
FRAME_01_COL_L,Columns,HEA200,5970.0,239.24
FRAME_01_COL_R,Columns,HEA200,5970.0,239.24
FRAME_01_RAFTER_L,Rafters,HEA180,5024.9,170.88
FRAME_01_RAFTER_R,Rafters,HEA180,5024.9,170.88
FRAME_02_COL_L,Columns,HEA200,5970.0,239.24
FRAME_02_COL_R,Columns,HEA200,5970.0,239.24
FRAME_02_RAFTER_L,Rafters,HEA180,5024.9,170.88
FRAME_02_RAFTER_R,Rafters,HEA180,5024.9,170.88
FRAME_03_COL_L,Columns,HEA200,5970.0,239.24
FRAME_03_COL_R,Columns,HEA200,5970.0,239.24
FRAME_03_RAFTER_L,Rafters,HEA180,5024.9,170.88
FRAME_03_RAFTER_R,Rafters,HEA180,5024.9,170.88
FRAME_04_COL_L,Columns,HEA200,5970.0,239.24
FRAME_04_COL_R,Columns,HEA200,5970.0,239.24
FRAME_04_RAFTER_L,Rafters,HEA180,5024.9,170.88
FRAME_04_RAFTER_R,Rafters,HEA180,5024.9,170.88
FRAME_05_COL_L,Columns,HEA200,5970.0,239.24
FRAME_05_COL_R,Columns,HEA200,5970.0,239.24
FRAME_05_RAFTER_L,Rafters,HEA180,5024.9,170.88
FRAME_05_RAFTER_R,Rafters,HEA180,5024.9,170.88
GABLE_BACK_POST_01,Gable posts,HEA160,6208.3,179.54
GABLE_BACK_POST_02,Gable posts,HEA160,6208.3,179.54
GABLE_FRONT_POST_01,Gable posts,HEA160,6208.3,179.54
GABLE_FRONT_POST_02,Gable posts,HEA160,6208.3,179.54
GIRT_L_01,Girts,UPE100,20000.0,189.58
GIRT_L_02,Girts,UPE100,20000.0,189.58
GIRT_R_01,Girts,UPE100,20000.0,189.58
GIRT_R_02,Girts,UPE100,20000.0,189.58
GUTTER_L,Gutters,U300x200x5,20000.0,620.15
GUTTER_R,Gutters,U300x200x5,20000.0,620.15
PURLIN_EAVE_L,Purlins,UPE120,20000.0,232.36
PURLIN_EAVE_R,Purlins,UPE120,20000.0,232.36
PURLIN_L_01,Purlins,UPE120,20000.0,232.36
PURLIN_L_02,Purlins,UPE120,20000.0,232.36
PURLIN_R_01,Purlins,UPE120,20000.0,232.36
PURLIN_R_02,Purlins,UPE120,20000.0,232.36
TIEROD_L_BAY_01_00,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_L_BAY_01_01,Sag rods / flange braces,rod-16,1674.9,2.64
TIEROD_L_BAY_01_02,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_L_BAY_02_00,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_L_BAY_02_01,Sag rods / flange braces,rod-16,1674.9,2.64
TIEROD_L_BAY_02_02,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_L_BAY_03_00,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_L_BAY_03_01,Sag rods / flange braces,rod-16,1674.9,2.64
TIEROD_L_BAY_03_02,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_L_BAY_04_00,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_L_BAY_04_01,Sag rods / flange braces,rod-16,1674.9,2.64
TIEROD_L_BAY_04_02,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_R_BAY_01_00,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_R_BAY_01_01,Sag rods / flange braces,rod-16,1674.9,2.64
TIEROD_R_BAY_01_02,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_R_BAY_02_00,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_R_BAY_02_01,Sag rods / flange braces,rod-16,1674.9,2.64
TIEROD_R_BAY_02_02,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_R_BAY_03_00,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_R_BAY_03_01,Sag rods / flange braces,rod-16,1674.9,2.64
TIEROD_R_BAY_03_02,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_R_BAY_04_00,Sag rods / flange braces,rod-16,1675.0,2.64
TIEROD_R_BAY_04_01,Sag rods / flange braces,rod-16,1674.9,2.64
TIEROD_R_BAY_04_02,Sag rods / flange braces,rod-16,1675.0,2.64
WASHER_L_01_a,Plate washers,plate-10,0.0,0.5
WASHER_L_01_b,Plate washers,plate-10,0.0,0.5
WASHER_L_02_a,Plate washers,plate-10,0.0,0.5
WASHER_L_02_b,Plate washers,plate-10,0.0,0.5
WASHER_L_03_a,Plate washers,plate-10,0.0,0.5
WASHER_L_03_b,Plate washers,plate-10,0.0,0.5
WASHER_L_04_a,Plate washers,plate-10,0.0,0.5
WASHER_L_04_b,Plate washers,plate-10,0.0,0.5
WASHER_L_05_a,Plate washers,plate-10,0.0,0.5
WASHER_L_05_b,Plate washers,plate-10,0.0,0.5
