categoria,perfil,quantidade,comprimento_total_m,massa_kg
ARRUELA_E_05_02,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_03,Arruelas,chapa-10,0.0,0.6
ARRUELA_E_05_04,Arruelas,chapa-10,0.0,0.6
BOCAL_D_00,Bocais (coletores calha->condutor),tubo-130x3,120.0,1.13
BOCAL_D_10,Bocais (coletores calha->condutor),tubo-130x3,120.0,1.13
BOCAL_D_20,Bocais (coletores calha->condutor),tubo-130x3,120.0,1.13
BOCAL_E_00,Bocais (coletores calha->condutor),tubo-130x3,120.0,1.13
BOCAL_E_10,Bocais (coletores calha->condutor),tubo-130x3,120.0,1.13
BOCAL_E_20,Bocais (coletores calha->condutor),tubo-130x3,120.0,1.13
CALHA_D,Calhas,U300x200x5,20000.0,620.15
CALHA_E,Calhas,U300x200x5,20000.0,620.15
CHUMBADOR_D_01_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_01_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_01_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_01_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_02_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_02_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_02_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_02_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_03_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_03_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_03_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_03_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_04_01,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_04_02,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_04_03,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_04_04,Chumbadores,barra-20,385.0,0.95
CHUMBADOR_D_05_01,Chumbadores,barra-20,385.0,0.95
